feature,importance_mean,importance_std
wx_visibility_mean_km,0.5125596089137544,0.08252567924995424
era5_t2m_max_c,0.21161564040821007,0.10978839132001571
wx_temp_max_c,0.17082341888978048,0.07593940166227849
wx_visibility_min_km,0.09415204678362572,0.04351521677727634
fire_count,0.0796101364522417,0.04876663163085984
wx_rh_max_pct,0.06458662997362688,0.058123433185430264
fire_smoke_transport_index,0.0478362573099415,0.029391186874184922
wx_rh_min_pct,0.03380116959064327,0.04243035641915873
wx_rh_mean_pct,0.027849927849927843,0.03601293355881287
era5_sp_mean_hpa,0.02666666666666666,0.03265986323710904
era5_u10_mean_ms,0.022222222222222216,0.031426968052735434
era5_wind_speed_mean_ms,0.019999999999999997,0.03055050463303893
wx_pressure_mean_kpa,0.019508124725516017,0.02815987727226958
era5_d2m_mean_c,0.015555555555555552,0.028196838978776704
wx_temp_min_c,0.011010101010101006,0.026213824120935942
wx_windspd_max_kmh,0.004444444444444444,0.016629588385661958
era5_t2m_min_c,0.004040404040404037,0.010301049522409657
wx_dewpoint_mean_c,0.002222222222222222,0.01196703290474334
wx_temp_mean_c,0.0,0.0
pm25_station_count,0.0,0.0
wx_precip_total_mm,0.0,0.0
wx_windspd_mean_kmh,0.0,0.0
fire_frp_sum,0.0,0.0
era5_v10_mean_ms,0.0,0.0
era5_wind_from_deg,0.0,0.0
era5_t2m_mean_c,0.0,0.0
fire_frp_dist_weighted_sum,0.0,0.0
fire_frp_mean,0.0,0.0
fire_mean_km,0.0,0.0
fire_nearest_km,0.0,0.0
upwind_fire_frp_sum,0.0,0.0
upwind_fire_count,0.0,0.0
upwind_fire_nearest_km,0.0,0.0
era5_wind_speed_max_ms,-0.0204761904761905,0.05666545404743753
