month,pm25_mean,pm25_std,pm25_max,high_pollution_days,total_days,month_name
1,6.411612903225806,4.211674328003209,16.4,0,31,Jan
2,7.518571428571429,4.907510279444877,22.5,0,28,Feb
3,5.9793548387096775,2.372910920485457,11.9,0,31,Mar
4,4.849,1.7121451610864011,8.2,0,20,Apr
5,7.548709677419355,10.668676500839732,52.4,2,31,May
6,4.418333333333334,1.3397351342280526,7.88,0,30,Jun
7,18.12322580645161,24.465244516401462,134.0,5,31,Jul
8,15.449677419354838,12.008439388993883,53.5,5,31,Aug
9,7.232666666666666,4.273793383524463,22.7,0,30,Sep
10,5.5361290322580645,2.507308885929766,12.6,0,31,Oct
11,8.909333333333334,5.934440643154706,22.7,0,30,Nov
12,8.903870967741934,6.158842790340491,25.7,1,31,Dec
