date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,fire_count,fire_frp_sum,fire_frp_mean
2018-04-01,9.47,1,-10.683333333333332,-7.3,-14.5,-15.258333333333333,69.79166666666667,80.0,57.0,0.0,,8.875,18.0,88.69375000000001,27.691666666666663,4.8,9.0,34.9,3.8777777777777778
2018-04-02,10.2,1,-8.945833333333335,-5.4,-11.3,-15.908333333333331,58.0,72.0,42.0,0.0,,10.625,16.0,88.70916666666666,30.641666666666666,11.3,37.0,89.78999999999999,2.4267567567567565
2018-04-03,12.8,1,-9.141666666666667,-4.4,-14.5,-14.341666666666669,66.95833333333333,81.0,52.0,0.0,,8.708333333333334,19.0,88.79,18.51666666666667,9.7,7.0,24.88,3.5542857142857143
2018-04-04,19.0,1,-7.916666666666667,-1.6,-11.7,-12.404166666666669,71.04166666666667,82.0,50.0,0.0,,17.75,40.0,88.89999999999999,11.866666666666667,4.8,19.0,93.99,4.9468421052631575
2018-04-05,5.91,1,-9.975,-6.7,-13.3,-16.541666666666668,60.458333333333336,82.0,42.0,0.0,,16.041666666666668,25.0,89.83333333333333,24.7125,2.8,19.0,89.69,4.720526315789473
2018-04-06,8.79,1,-12.604166666666666,-10.4,-15.6,-16.054166666666667,76.0,83.0,65.0,0.0,,25.375,40.0,89.49125,8.683333333333334,2.0,30.0,74.6,2.4866666666666664
2018-04-07,7.78,1,-11.3375,-9.1,-14.1,-13.733333333333334,82.70833333333333,86.0,73.0,0.0,,14.583333333333334,22.0,88.29625,5.391666666666667,1.2,43.0,88.03,2.0472093023255815
2018-04-08,11.9,1,-7.020833333333333,-4.8,-9.3,-9.729166666666666,81.125,87.0,75.0,0.0,,11.333333333333334,17.0,88.40458333333333,13.416666666666666,2.0,27.0,75.51,2.796666666666667
2018-04-09,19.2,1,0.4749999999999999,5.6,-4.9,-4.758333333333334,69.04166666666667,83.0,55.0,0.0,,8.0,21.0,89.0475,18.245833333333334,8.1,8.0,33.480000000000004,4.1850000000000005
2018-04-10,6.47,1,3.358333333333333,8.9,-2.5,-3.7,61.583333333333336,87.0,43.0,0.0,,9.333333333333334,17.0,88.52541666666667,28.35,9.7,53.0,185.06,3.4916981132075473
2018-04-11,19.7,1,1.3041666666666667,7.4,-4.4,-2.8083333333333336,76.16666666666667,96.0,47.0,0.0,,12.875,19.0,88.085,21.36666666666667,0.6,48.0,141.61,2.9502083333333338
2018-04-12,8.97,1,-3.0500000000000003,-2.3,-3.7,-4.2,91.875,96.0,86.0,0.0,,17.791666666666668,22.0,88.21375,1.7583333333333335,0.4,15.0,93.05,6.203333333333333
2018-04-13,9.71,1,1.1083333333333332,7.2,-3.5,-2.920833333333333,76.0,93.0,55.0,0.0,,13.583333333333334,24.0,88.87708333333335,20.85833333333333,2.4,13.0,40.32,3.1015384615384614
2018-04-14,5.07,1,3.704166666666667,9.9,-1.1,-3.475,61.41666666666666,80.0,31.0,0.0,,8.375,31.0,88.80541666666666,45.25833333333333,24.1,22.0,123.05,5.593181818181818
2018-04-15,10.2,1,2.7291666666666665,8.2,-0.9,-2.629166666666667,69.125,83.0,47.0,0.0,,13.208333333333334,29.0,88.48458333333333,43.583333333333336,16.1,59.0,527.46,8.940000000000001
2018-04-16,8.9,1,0.1041666666666666,1.3,-1.3,-2.154166666666667,85.08333333333333,93.0,76.0,0.0,,19.5,32.0,87.97541666666666,12.679166666666667,0.6,43.0,234.25,5.4476744186046515
2018-04-17,16.0,1,0.1041666666666666,3.5,-3.7,-2.583333333333333,82.875,96.0,67.0,0.0,,7.666666666666667,17.0,88.10291666666666,11.6625,0.2,36.0,147.07,4.085277777777778
2018-04-18,2.25,1,3.2375000000000003,8.1,-3.5,-5.904166666666666,54.0,86.0,32.0,0.0,,13.708333333333334,24.0,89.31916666666666,44.59166666666667,24.1,80.0,231.27,2.8908750000000003
2018-04-19,5.96,1,4.1125,9.5,-3.0,-3.7083333333333335,58.208333333333336,75.0,39.0,0.0,,10.0,26.0,89.32666666666667,47.6125,24.1,112.0,541.72,4.836785714285715
2018-04-20,6.43,1,7.133333333333333,12.9,-0.1,-5.170833333333333,43.91666666666666,69.0,25.0,0.0,,13.458333333333334,28.0,89.08291666666666,45.93333333333334,24.1,129.0,1036.29,8.033255813953488
2018-04-21,6.05,1,7.779166666666666,13.7,3.1,-4.804166666666666,43.208333333333336,67.0,20.0,0.0,,18.625,40.0,88.50458333333334,44.59166666666667,24.1,234.0,1583.32,6.766324786324786
2018-04-22,1.42,1,6.154166666666666,11.1,1.6,-8.654166666666667,35.666666666666664,62.0,19.0,0.0,,16.333333333333332,30.0,89.45625,46.60416666666666,24.1,403.0,4339.32,10.767543424317617
2018-04-23,4.88,1,6.941666666666666,13.2,0.2,-4.9875,44.208333333333336,66.0,29.0,0.0,,14.875,26.0,90.09166666666664,47.6125,24.1,244.0,1044.27,4.2797950819672135
2018-04-24,7.75,1,12.0,20.0,1.4,-10.083333333333334,27.416666666666668,61.0,8.0,0.0,,9.791666666666666,17.0,89.57666666666667,47.275000000000006,24.1,225.0,1339.23,5.952133333333333
2018-04-25,8.94,1,9.533333333333331,14.6,5.0,-4.041666666666667,40.083333333333336,64.0,23.0,0.0,,18.291666666666668,36.0,89.39125,32.8375,24.1,209.0,879.88,4.209952153110048
2018-04-26,8.1,1,12.908333333333331,20.6,3.1,-2.45,37.375,59.0,19.0,0.0,,7.791666666666667,17.0,89.40416666666665,43.24583333333334,24.1,341.0,3361.5,9.857771260997067
2018-04-27,10.1,1,13.783333333333331,22.3,3.9,0.1833333333333333,43.625,74.0,21.0,0.0,,20.166666666666668,39.0,88.89125,41.90416666666667,16.1,364.0,2859.86,7.856758241758242
2018-04-28,12.0,1,16.891666666666666,25.6,4.7,-2.8125,31.291666666666668,62.0,10.0,0.0,,10.041666666666666,26.0,87.80416666666667,35.525,24.1,313.0,4150.38,13.26
2018-04-29,4.23,1,7.158333333333334,17.1,2.4,1.7791666666666668,72.29166666666667,90.0,27.0,0.0,,26.20833333333333,45.0,88.42041666666667,16.166666666666668,8.1,312.0,3029.65,9.710416666666667
2018-04-30,6.42,1,6.9875,13.4,2.0,1.4541666666666666,70.20833333333333,92.0,40.0,0.0,,8.208333333333334,14.0,88.61166666666666,24.90833333333333,4.0,262.0,6180.05,23.587977099236642
2018-05-01,4.79,1,8.558333333333334,11.7,5.6,-1.758333333333333,49.79166666666666,77.0,32.0,0.0,,19.08333333333333,36.0,88.59416666666665,28.629166666666663,11.3,146.0,1160.86,7.951095890410958
2018-05-02,6.69,1,11.5625,19.5,0.2,-3.4333333333333336,40.91666666666666,82.0,19.0,0.0,,15.0,32.0,88.47208333333333,48.28333333333334,24.1,97.0,501.03,5.1652577319587625
2018-05-03,7.02,1,14.175,21.8,4.8,-2.9958333333333336,33.833333333333336,62.0,17.0,0.0,,16.5,36.0,88.82,46.94166666666667,24.1,107.0,1070.85,10.007943925233644
2018-05-04,5.84,1,15.141666666666666,21.1,7.6,0.4041666666666666,39.0,68.0,21.0,0.0,,13.708333333333334,24.0,89.06166666666667,48.95416666666667,24.1,157.0,1548.57,9.863503184713375
2018-05-05,5.47,1,13.666666666666666,20.2,6.6,2.733333333333333,50.66666666666666,79.0,29.0,0.0,,7.125,19.0,89.40583333333335,51.304166666666674,24.1,208.0,1537.9,7.393750000000001
2018-05-06,7.14,1,16.034782608695654,23.4,6.8,1.3956521739130436,39.78260869565217,67.0,23.0,0.0,,6.695652173913044,14.0,89.16217391304347,52.48695652173913,24.1,485.0,4782.68,9.86119587628866
2018-05-07,7.27,1,17.45,22.8,10.3,0.6583333333333333,33.291666666666664,52.0,21.0,0.0,,13.666666666666666,27.0,89.13375,38.22083333333334,16.1,447.0,4269.33,9.551073825503355
2018-05-08,5.57,1,17.087500000000002,21.5,12.9,2.525,38.5,56.0,24.0,0.0,,18.95833333333333,41.0,89.12124999999999,46.275000000000006,16.1,480.0,3837.06,7.993875
2018-05-09,4.45,1,7.454166666666667,12.8,4.8,1.2166666666666666,66.0,85.0,44.0,0.0,,16.833333333333332,27.0,89.24833333333333,25.075000000000003,8.1,282.0,2168.84,7.690921985815604
2018-05-10,7.18,1,5.854166666666667,9.7,2.5,2.8541666666666665,81.5,94.0,69.0,0.0,,11.166666666666666,24.0,88.77625,12.204166666666667,4.8,167.0,1367.72,8.189940119760479
2018-05-11,8.09,1,9.1625,15.8,3.5,2.270833333333333,65.91666666666667,94.0,35.0,0.0,,16.375,30.0,89.29291666666667,26.120833333333334,2.4,82.0,449.44,5.480975609756097
2018-05-12,6.49,1,14.566666666666668,21.7,4.4,0.7416666666666667,43.0,76.0,22.0,0.0,,8.625,19.0,89.18624999999999,52.98333333333334,24.1,485.0,6809.93,14.041092783505155
2018-05-13,7.56,1,17.0375,22.8,8.4,0.2291666666666666,33.75,59.0,19.0,0.0,,17.375,30.0,89.185,48.958333333333336,24.1,709.0,12215.19,17.228758815232723
2018-05-14,9.29,1,19.15833333333333,27.5,9.4,-0.4875,30.0,55.0,12.0,0.0,,12.958333333333334,28.0,88.92041666666667,48.2875,24.1,663.0,5976.26,9.013966817496229
2018-05-15,10.9,1,22.666666666666668,28.2,13.8,-0.0458333333333333,22.75,37.0,16.0,0.0,,11.875,22.0,88.59166666666665,47.61666666666667,24.1,910.0,30418.62,33.42705494505494
2018-05-16,15.8,1,19.304166666666667,25.4,12.5,2.245833333333333,33.708333333333336,66.0,22.0,0.0,,26.75,42.0,88.66083333333334,18.04583333333333,8.1,373.0,4564.1,12.236193029490618
